created_at,entry_id,field1,field2,field3,field4,field5
2025-03-22 06:24:00 UTC,3249534,29,32,121,1008,12.78
2025-03-22 06:24:31 UTC,3249535,29,32,121,1008,12.78
2025-03-22 06:25:01 UTC,3249536,29,32,122,1009,12.78
2025-03-22 06:25:32 UTC,3249537,29,32,121,1008,12.78
2025-03-22 06:26:02 UTC,3249538,29,32,121,1008,12.78
2025-03-22 06:26:33 UTC,3249539,29,32,121,1008,12.88
2025-03-22 06:27:03 UTC,3249540,29,32,120,1008,12.78
2025-03-22 06:27:34 UTC,3249541,29,32,120,1008,12.88
2025-03-22 06:28:04 UTC,3249542,29,32,120,1008,12.78
2025-03-22 06:28:35 UTC,3249543,29,32,119,1008,12.81
2025-03-22 06:29:05 UTC,3249544,29,32,117,1008,12.78
2025-03-22 06:29:36 UTC,3249545,29,32,116,1008,12.78
2025-03-22 06:30:06 UTC,3249546,29,32,115,1008,12.78
2025-03-22 06:30:37 UTC,3249547,29,32,115,1008,12.85
2025-03-22 06:31:07 UTC,3249548,29,32,115,1008,12.88
2025-03-22 06:31:38 UTC,3249549,29,32,115,1008,12.78
2025-03-22 06:32:08 UTC,3249550,29,32,115,1008,12.78
2025-03-22 06:32:39 UTC,3249551,29,32,115,1008,12.85
2025-03-22 06:33:09 UTC,3249552,29,32,115,1008,12.78
2025-03-22 06:33:40 UTC,3249553,29,32,115,1008,12.85
2025-03-22 06:34:10 UTC,3249554,29,32,115,1009,12.88
2025-03-22 06:34:41 UTC,3249555,29,32,115,1008,12.78
2025-03-22 06:35:11 UTC,3249556,29,32,115,1009,12.78
2025-03-22 06:35:42 UTC,3249557,29,32,115,1008,12.78
2025-03-22 06:36:12 UTC,3249558,29,32,115,1009,12.85
2025-03-22 06:36:43 UTC,3249559,29,32,116,1008,12.88
2025-03-22 06:37:13 UTC,3249560,29,32,116,1009,12.88
2025-03-22 06:37:44 UTC,3249561,29,32,115,1008,12.78
2025-03-22 06:38:14 UTC,3249562,29,32,112,1008,12.81
2025-03-22 06:38:45 UTC,3249563,29,32,110,1008,12.78
2025-03-22 06:39:15 UTC,3249564,29,32,108,1008,12.78
2025-03-22 06:39:46 UTC,3249565,29,32,106,1008,12.78
2025-03-22 06:40:16 UTC,3249566,29,32,104,1008,12.75
2025-03-22 06:40:47 UTC,3249567,29,32,106,1008,12.78
2025-03-22 06:41:17 UTC,3249568,29,32,107,1008,12.81
2025-03-22 06:41:47 UTC,3249569,29,32,108,1008,12.78
2025-03-22 06:42:18 UTC,3249570,29,32,106,1008,12.81
2025-03-22 06:43:24 UTC,3249571,29,32,107,1008,12.78
2025-03-22 06:43:54 UTC,3249572,29,32,106,1008,12.78
2025-03-22 06:44:24 UTC,3249573,29,32,101,1008,12.75
2025-03-22 06:44:54 UTC,3249574,29,32,99,1008,12.75
2025-03-22 06:45:25 UTC,3249575,29,32,95,1008,12.75
2025-03-22 06:45:55 UTC,3249576,29,32,100,1008,12.75
2025-03-22 06:46:25 UTC,3249577,29,32,102,1008,12.75
2025-03-22 06:46:56 UTC,3249578,29,31,105,1008,12.75
2025-03-22 06:47:26 UTC,3249579,29,31,103,1008,12.78
2025-03-22 06:47:56 UTC,3249580,29,31,98,1008,12.75
2025-03-22 06:48:27 UTC,3249581,29,31,98,1009,12.78
2025-03-22 06:48:57 UTC,3249582,29,31,95,1008,12.78
2025-03-22 06:49:27 UTC,3249583,29,31,95,1008,12.75
2025-03-22 06:49:57 UTC,3249584,29,31,91,1008,12.75
2025-03-22 06:50:28 UTC,3249585,29,31,94,1008,12.85
2025-03-22 06:50:58 UTC,3249586,29,31,95,1008,12.78
2025-03-22 06:51:28 UTC,3249587,29,31,95,1008,12.75
2025-03-22 06:51:59 UTC,3249588,29,31,96,1008,12.75
2025-03-22 06:52:29 UTC,3249589,29,31,92,1008,12.75
2025-03-22 06:52:59 UTC,3249590,29,31,86,1008,12.75
2025-03-22 06:53:30 UTC,3249591,29,31,91,1008,12.75
2025-03-22 06:54:00 UTC,3249592,29,31,97,1008,12.75
2025-03-22 06:54:31 UTC,3249593,29,31,99,1008,12.75
2025-03-22 06:55:01 UTC,3249594,29,31,100,1008,12.75
2025-03-22 06:55:32 UTC,3249595,29,31,104,1008,12.78
2025-03-22 06:56:02 UTC,3249596,29,31,105,1008,12.85
2025-03-22 06:56:33 UTC,3249597,29,31,99,1008,12.75
2025-03-22 06:57:03 UTC,3249598,29,31,95,1008,12.75
2025-03-22 06:57:34 UTC,3249599,29,31,97,1008,12.78
2025-03-22 06:58:04 UTC,3249600,29,31,100,1008,12.78
2025-03-22 06:58:35 UTC,3249601,29,31,103,1008,12.75
2025-03-22 06:59:05 UTC,3249602,29,31,106,1008,12.78
2025-03-22 06:59:36 UTC,3249603,29,31,108,1008,12.78
2025-03-22 07:00:06 UTC,3249604,29,31,109,1008,12.75
2025-03-22 07:00:37 UTC,3249605,29,31,110,1008,12.81
2025-03-22 07:01:07 UTC,3249606,29,31,110,1008,12.75
2025-03-22 07:01:38 UTC,3249607,29,31,110,1008,12.75
2025-03-22 07:02:08 UTC,3249608,29,31,109,1008,12.78
2025-03-22 07:02:39 UTC,3249609,29,31,107,1008,12.78
2025-03-22 07:03:09 UTC,3249610,29,31,106,1008,12.75
2025-03-22 07:03:40 UTC,3249611,29,31,106,1008,12.75
2025-03-22 07:04:10 UTC,3249612,29,31,104,1008,12.85
2025-03-22 07:04:41 UTC,3249613,29,31,102,1008,12.75
2025-03-22 07:05:11 UTC,3249614,29,31,102,1008,12.78
2025-03-22 07:05:42 UTC,3249615,29,31,100,1008,12.75
2025-03-22 07:06:12 UTC,3249616,29,31,100,1008,12.75
2025-03-22 07:06:43 UTC,3249617,29,31,100,1008,12.75
2025-03-22 07:07:13 UTC,3249618,29,31,100,1008,12.78
2025-03-22 07:07:44 UTC,3249619,29,31,101,1008,12.75
2025-03-22 07:08:14 UTC,3249620,29,31,101,1008,12.75
2025-03-22 07:08:45 UTC,3249621,29,31,101,1009,12.75
2025-03-22 07:09:15 UTC,3249622,29,31,100,1008,12.75
2025-03-22 07:09:46 UTC,3249623,29,31,101,1008,12.75
